trade_seq,code,display_name,listed_start,listed_days,listed_trading_days,open,close,high,low,volume,money,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,daily_return_close,mom_1m,mom_3m,mom_6m,mom_12m,mom_12_1,mom_6_1,liq_money_1m,liq_turnover_1m,price_history_1m_ready,price_history_3m_ready,price_history_6m_ready,price_history_12m_ready,price_history_12_1_ready,liquidity_1m_ready,momentum_core_ready_v1,rebalance_date,next_rebalance_date,next_rebalance_close,y_year_total_return_close,y_year_avg_daily_return_close,avg_money_20d_pre_rebalance,avg_market_cap_20d_pre_rebalance,liquidity_top_80_flag,market_cap_top_80_flag,rebalance_stock_pool_flag
80,000001.XSHE,平安银行,1991-04-03,8433,80,4.67,4.62,4.67,4.56,95853969.0,440413664.0,0.7232,1046.3299,612.7916,6.2669,0.892,-0.0149253731343284,0.0065359477124182,-0.0493827160493827,,,,,611719470.4,0.98497,1,1,0,0,0,1,0,2014-05-05,2015-05-04,10.23,1.2142857142857144,0.0035996851306517386,611719470.4,1054.803405,1,1,1
80,002142.XSHE,宁波银行,2007-07-19,2482,80,4.1,4.11,4.11,4.03,18284304.0,74327016.0,0.2909,259.2555,258.1279,5.1038,0.9482,0.0024390243902441,0.0024390243902441,0.0098280098280099,,,,,90151250.8,0.347915,1,1,0,0,0,1,0,2014-05-05,2015-05-04,9.17,1.2311435523114351,0.0036033763758097667,90151250.8,259.70245500000004,0,0,0
80,600000.XSHG,浦发银行,1999-11-10,5290,80,4.29,4.28,4.3,4.21,235650452.0,1001815680.0,0.6936,1816.8481,1453.4785,4.252,0.8384,-0.0023310023310022,-0.0205949656750571,0.0490196078431373,,,,,1543753196.8,1.040905,1,1,0,0,0,1,0,2014-05-05,2015-05-04,8.39,0.9602803738317758,0.002979478472442552,1543753196.8,1843.9889200000002,1,1,1
80,600015.XSHG,华夏银行,2003-09-12,3888,80,3.44,3.44,3.47,3.4,72204071.0,247260528.0,0.4553,747.9901,544.9657,4.5951,0.8339,-0.0086455331412104,-0.0057803468208093,0.0087976539589442,,,,,327446256.8,0.58556,1,1,0,0,0,1,0,2014-05-05,2015-05-04,6.99,1.0319767441860468,0.0031930948783927666,327446256.8,763.662235,1,1,1
80,600016.XSHG,民生银行,2000-12-19,4885,80,3.21,3.18,3.22,3.14,219309972.0,695776896.0,0.3984,2201.2235,1752.852,5.0097,1.043,-0.0154798761609906,-0.0062499999999999,0.0495049504950495,,,,,827235252.8,0.46298,1,1,0,0,0,1,0,2014-05-05,2015-05-04,5.44,0.7106918238993711,0.002455094561812349,827235252.8,2238.9506549999996,1,1,1
80,600036.XSHG,招商银行,2002-04-09,4409,80,6.01,5.98,6.02,5.89,93161695.0,554555904.0,0.2715,2506.8527,2050.5171,4.6711,0.8848,-0.0082918739635157,-0.0016694490818029,-0.0537974683544303,,,,,557414410.4,0.26687,1,1,0,0,0,1,0,2014-05-05,2015-05-04,11.62,0.9431438127090299,0.0025911698915278615,557414410.4,2541.40385,1,1,1
80,601009.XSHG,南京银行,2007-07-19,2482,80,1.74,1.74,1.74,1.72,45155952.0,78125952.0,0.3389,232.1706,232.1706,4.9138,0.8159,0.0,-0.0057142857142856,-0.0169491525423729,,,,,81459573.0,0.3484349999999999,1,1,0,0,0,1,0,2014-05-05,2015-05-04,4.13,1.3735632183908044,0.00388576065365445,81459573.0,232.51201,0,0,0
80,601166.XSHG,兴业银行,2007-02-05,2646,80,5.55,5.47,5.55,5.41,150619776.0,823073984.0,0.5087,1909.0441,1621.1976,4.3788,0.8894,-0.0161870503597122,0.0539499036608861,0.0539499036608861,,,,,1271697699.2,0.77575,1,1,0,0,0,1,0,2014-05-05,2015-05-04,10.95,1.0018281535648996,0.0031300406839988018,1271697699.2,1922.85709,1,1,1
80,601169.XSHG,北京银行,2007-09-19,2420,80,2.1,2.08,2.1,2.07,89360473.0,186274112.0,0.3315,660.892,561.2279,4.7711,0.7918,-0.0142180094786729,-0.0234741784037557,0.04,,,,,235546466.0,0.41016,1,1,0,0,0,1,0,2014-05-05,2015-05-04,4.61,1.2163461538461537,0.003525999802132416,235546466.0,673.47621,1,0,0
80,601288.XSHG,农业银行,2010-07-15,1390,80,1.21,1.2,1.21,1.19,212464349.0,254313056.0,0.0374,7762.5794,6791.5083,4.4939,0.859,-0.0082644628099173,-0.0163934426229508,0.0,,,,,212089339.6,0.03077,1,1,0,0,0,1,0,2014-05-05,2015-05-04,2.13,0.7749999999999999,0.002578802201160734,212089339.6,7877.881304999998,1,1,1
80,601328.XSHG,交通银行,2007-05-15,2547,80,1.87,1.87,1.88,1.86,109530274.0,204103072.0,0.1688,2755.1472,1213.5059,4.354,0.6265,0.0,-0.0260416666666666,-0.0260416666666666,,,,,273394769.2,0.220575,1,1,0,0,0,1,0,2014-05-05,2015-05-04,3.79,1.0267379679144386,0.0031727519895731657,273394769.2,2801.9326849999998,1,1,1
80,601398.XSHG,工商银行,2006-10-27,2747,80,1.76,1.76,1.77,1.74,83072974.0,145549104.0,0.0162,12017.528,9049.1717,4.4974,0.8846,-0.0056497175141243,-0.0056497175141243,-0.0056497175141243,,,,,160070408.8,0.01744,1,1,0,0,0,1,0,2014-05-05,2015-05-04,2.98,0.6931818181818181,0.0023495595441625993,160070408.8,12172.139444999999,1,1,1
