trade_seq,code,display_name,listed_start,listed_days,listed_trading_days,open,close,high,low,volume,money,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,daily_return_close,mom_1m,mom_3m,mom_6m,mom_12m,mom_12_1,mom_6_1,liq_money_1m,liq_turnover_1m,price_history_1m_ready,price_history_3m_ready,price_history_6m_ready,price_history_12m_ready,price_history_12_1_ready,liquidity_1m_ready,momentum_core_ready_v1,mom_3_1,price_history_3_1_ready,price_history_6_1_ready,price_history_12_1_ready_v2,momentum_monthly_ready_v2,month_key,rebalance_date,next_rebalance_date,next_rebalance_close,y_month_total_return_close,avg_money_20d_pre_rebalance,avg_market_cap_20d_pre_rebalance,y_month_avg_daily_return_close,monthly_momentum_ready_v2,liquidity_top_60_flag,market_cap_top_60_flag,rebalance_stock_pool_flag_v2
1,000001.XSHE,平安银行,1991-04-03,8310,1,5.1,5.15,5.17,5.07,116447656.0,596223744.0,0.8786,1002.5372,681.9328,6.7458,1.0563,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,4.79,-0.06990291262135928,596223744.0,1002.5372,-0.0033371138518117757,0,0,0,0
1,002142.XSHE,宁波银行,2007-07-19,2359,1,4.2,4.17,4.2,4.15,19564786.0,81605672.0,0.3113,263.2928,262.1477,5.6291,1.0521,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,4.06,-0.026378896882494063,81605672.0,263.2928,-7.751649219226837e-05,0,0,0,0
1,600000.XSHG,浦发银行,1999-11-10,5167,1,4.15,4.1,4.15,4.08,158955714.0,652410752.0,0.4679,1740.3689,1392.2951,4.5947,0.8892,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,4.03,-0.01707317073170722,652410752.0,1740.3689,-0.000761854219729805,0,0,0,0
1,600015.XSHG,华夏银行,2003-09-12,3765,1,3.48,3.4,3.48,3.37,91928513.0,312566016.0,0.5797,739.0854,538.478,5.0124,0.9017,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,3.31,-0.026470588235294024,312566016.0,739.0854,-0.0011551369585687192,0,0,0,0
1,600016.XSHG,民生银行,2000-12-19,4762,1,3.15,3.17,3.18,3.14,229657233.0,725969856.0,0.4172,2192.7054,1746.0673,5.2124,1.1549,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,2.98,-0.05993690851735012,725969856.0,2192.7054,-0.002843449673941615,0,0,0,0
1,600036.XSHG,招商银行,2002-04-09,4286,1,6.52,6.45,6.53,6.42,88579716.0,571763456.0,0.2582,2706.0894,2213.4857,5.4138,1.0524,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,6.21,-0.037209302325581395,571763456.0,2706.0894,-0.0017498506123675478,0,0,0,0
1,601009.XSHG,南京银行,2007-07-19,2359,1,1.79,1.79,1.81,1.78,24719103.0,44248920.0,0.1855,238.7022,238.7022,5.3448,0.9047,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,1.76,-0.016759776536312887,44248920.0,238.7022,-0.0007674577675823955,0,0,0,0
1,601166.XSHG,兴业银行,2007-02-05,2523,1,5.51,5.45,5.51,5.43,133215055.0,726735296.0,0.4499,1901.4232,1614.7257,4.5841,0.9777,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,5.11,-0.062385321100917435,726735296.0,1901.4232,-0.0029767041031229756,0,0,0,0
1,601169.XSHG,北京银行,2007-09-19,2297,1,2.07,2.06,2.07,2.05,76636044.0,157556560.0,0.2843,652.9718,554.5021,5.1343,0.839,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,1.97,-0.043689320388349606,157556560.0,652.9718,-0.002079453478407462,0,0,0,0
1,601288.XSHG,农业银行,2010-07-15,1267,1,1.24,1.24,1.24,1.23,115947111.0,143059488.0,0.0204,8022.4147,7018.8392,4.9218,0.9699,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,2014-01,2014-01-02,2014-02-07,1.19,-0.040322580645161366,143059488.0,8022.4147,-0.0019316850510005719,0,0,0,0
