fold_id,candidate_name,threshold_name,rebalance_date,formula,low_q,high_q,state_score,low_cut,high_cut,state_bucket,fundamental_budget,momentum_budget,portfolio_return,cash_weight
fold_02,breadth_only,q30_q70,2019-11-01,- 1.0*deterioration_ratio,0.3,0.7,-0.840576,-0.33596,0.69656,weak_down,1.0,0.0,-0.0006859661,0.3
fold_02,breadth_only,q33_q67,2019-11-01,- 1.0*deterioration_ratio,0.33,0.67,-0.840576,-0.33596,0.431055,weak_down,1.0,0.0,-0.0006859661,0.3
fold_02,breadth_only,q25_q75,2019-11-01,- 1.0*deterioration_ratio,0.25,0.75,-0.840576,-0.33596,1.139069,weak_down,1.0,0.0,-0.0006859661,0.3
fold_02,breadth_only,q20_q80,2019-11-01,- 1.0*deterioration_ratio,0.2,0.8,-0.840576,-0.86144,1.22204,neutral_flat,0.8,0.2,-0.0008932125,0.1
fold_02,fixed_blend_60_40,fixed,2019-11-01,fixed_60_40,<NA>,<NA>,<NA>,<NA>,<NA>,fixed,0.6,0.4,-0.0009460834,0.067692
fold_02,delta_median_only,q30_q70,2020-05-06,+ 1.0*score_delta_median,0.3,0.7,0.18114,-0.379743,0.257506,neutral_flat,0.8,0.2,0.0012946321,0.05
fold_02,delta_median_only,q33_q67,2020-05-06,+ 1.0*score_delta_median,0.33,0.67,0.18114,-0.275906,-0.016648,strong_up,0.6,0.4,0.0013568957,0.06
fold_02,delta_median_only,q25_q75,2020-05-06,+ 1.0*score_delta_median,0.25,0.75,0.18114,-0.552805,0.714429,neutral_flat,0.8,0.2,0.0012946321,0.05
fold_02,delta_median_only,q20_q80,2020-05-06,+ 1.0*score_delta_median,0.2,0.8,0.18114,-0.57082,1.277442,neutral_flat,0.8,0.2,0.0012946321,0.05
fold_02,breadth_only,q30_q70,2020-05-06,- 1.0*deterioration_ratio,0.3,0.7,0.207472,-0.33596,0.69656,neutral_flat,0.8,0.2,0.0012946321,0.05
fold_02,breadth_only,q33_q67,2020-05-06,- 1.0*deterioration_ratio,0.33,0.67,0.207472,-0.33596,0.431055,neutral_flat,0.8,0.2,0.0012946321,0.05
fold_02,breadth_only,q25_q75,2020-05-06,- 1.0*deterioration_ratio,0.25,0.75,0.207472,-0.33596,1.139069,neutral_flat,0.8,0.2,0.0012946321,0.05
fold_02,breadth_only,q20_q80,2020-05-06,- 1.0*deterioration_ratio,0.2,0.8,0.207472,-0.86144,1.22204,neutral_flat,0.8,0.2,0.0012946321,0.05
fold_02,fixed_blend_60_40,fixed,2020-05-06,fixed_60_40,<NA>,<NA>,<NA>,<NA>,<NA>,fixed,0.6,0.4,0.0013568957,0.06
fold_02,delta_median_only,q30_q70,2020-09-01,+ 1.0*score_delta_median,0.3,0.7,-1.460167,-0.379743,0.257506,weak_down,1.0,0.0,-9.24601e-05,0.25
fold_02,delta_median_only,q33_q67,2020-09-01,+ 1.0*score_delta_median,0.33,0.67,-1.460167,-0.275906,-0.016648,weak_down,1.0,0.0,-9.24601e-05,0.25
fold_02,delta_median_only,q25_q75,2020-09-01,+ 1.0*score_delta_median,0.25,0.75,-1.460167,-0.552805,0.714429,weak_down,1.0,0.0,-9.24601e-05,0.25
fold_02,delta_median_only,q20_q80,2020-09-01,+ 1.0*score_delta_median,0.2,0.8,-1.460167,-0.57082,1.277442,weak_down,1.0,0.0,-9.24601e-05,0.25
fold_02,breadth_only,q30_q70,2020-09-01,- 1.0*deterioration_ratio,0.3,0.7,-1.427482,-0.33596,0.69656,weak_down,1.0,0.0,-9.24601e-05,0.25
fold_02,breadth_only,q33_q67,2020-09-01,- 1.0*deterioration_ratio,0.33,0.67,-1.427482,-0.33596,0.431055,weak_down,1.0,0.0,-9.24601e-05,0.25
fold_02,breadth_only,q25_q75,2020-09-01,- 1.0*deterioration_ratio,0.25,0.75,-1.427482,-0.33596,1.139069,weak_down,1.0,0.0,-9.24601e-05,0.25
fold_02,breadth_only,q20_q80,2020-09-01,- 1.0*deterioration_ratio,0.2,0.8,-1.427482,-0.86144,1.22204,weak_down,1.0,0.0,-9.24601e-05,0.25
fold_02,fixed_blend_60_40,fixed,2020-09-01,fixed_60_40,<NA>,<NA>,<NA>,<NA>,<NA>,fixed,0.6,0.4,6.08806e-05,0.063333
