code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,operating_revenue,44728000000.0,finance_income_statement_current_only.csv,operating_revenue,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,interest_income,69806000000.0,finance_income_statement_current_only.csv,interest_income,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,interest_expense,37524000000.0,finance_income_statement_current_only.csv,interest_expense,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,commission_income,8462000000.0,finance_income_statement_current_only.csv,commission_income,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,commission_expense,823000000.0,finance_income_statement_current_only.csv,commission_expense,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,asset_impairment_loss,5563000000.0,finance_income_statement_current_only.csv,asset_impairment_loss,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,investment_income,-2299000000.0,finance_income_statement_current_only.csv,investment_income,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,operating_profit,23967000000.0,finance_income_statement_current_only.csv,operating_profit,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,total_profit,24127000000.0,finance_income_statement_current_only.csv,total_profit,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,income_tax_expense,5369000000.0,finance_income_statement_current_only.csv,income_tax_expense,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,net_profit,18758000000.0,finance_income_statement_current_only.csv,net_profit,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,np_parent_company_owners,18690000000.0,finance_income_statement_current_only.csv,np_parent_company_owners,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-03-31,2014q1,,2014-04-30,minority_profit,68000000.0,finance_income_statement_current_only.csv,minority_profit,single_quarter,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-06-30,2014q2,,2014-08-22,operating_revenue,45695000000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-06-30,2014q2,,2014-08-22,interest_income,73606000000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601328.XSHG,income,2014-06-30,2014q2,,2014-08-22,interest_expense,38677000000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
